Time (s),PID Joint 0 Angle (rad),SNN Joint 0 Angle (rad),PID Joint 0 Velocity (rad/s),SNN Joint 0 Velocity (rad/s)
5.73,0.7952521872420082,0.7959048718318722,-0.07083422110480705,-0.25104602510459983
5.74,0.7949570446540715,0.7948588467272697,-0.07070537592675627,0.049054970422741206
5.75,0.7946624389210433,0.7950632424373645,-0.07055387472568644,-0.09810994084547531
5.76,0.7943684644430196,0.794654451017175,-0.0703800632878792,-0.09810994084547531
5.7700000000000005,0.79407521417932,0.7942456595969856,-0.07018429059340199,-0.09810994084547531
5.78,0.7937827796351808,0.7938368681767961,-0.06996690865467045,-0.09810994084547531
5.79,0.7934912508491198,0.7934280767566066,-0.06972827235601331,-0.10099552734093109
5.8,0.7932007163809697,0.7930072620593528,-0.06946873929435299,-0.10099552734093109
5.8100000000000005,0.7929112633005765,0.7925864473620989,-0.06918866962103615,-0.10099552734093109
5.82,0.7926229771771555,0.7921656326648451,-0.0688884258847863,-0.10388111383638687
5.83,0.7923359420693021,0.7917327946905268,-0.06856837287590638,-0.10388111383638687
5.84,0.7920502405156525,0.7912999567162086,-0.06822887747172734,-0.10388111383638687
5.8500000000000005,0.7917659535261871,0.7908671187418903,-0.06787030848331174,-0.10676670033184266
5.86,0.7914831605741732,0.7904222574905077,-0.06749303650351454,0.049054970422741206
5.87,0.791201939588742,0.7906266532006024,-0.06709743375640517,-0.09522435435001952
5.88,0.7909223669480903,0.7902298850574774,-0.06668387394800343,-0.09522435435001952
5.89,0.7906445174733069,0.7898331169143523,-0.06625273211856803,-0.09810994084547531
5.9,0.7903684644228128,0.7894243254941629,-0.065804384496218,-0.09810994084547531
5.91,0.790094279487412,0.7890155340739734,-0.06533920835211973,-0.09810994084547531
5.92,0.7898220327859448,0.7886067426537839,-0.06485758185715165,-0.09810994084547531
5.93,0.78955179286154,0.7881979512335945,-0.06435988394016355,-0.10099552734093109
5.94,0.789283626678456,0.7877771365363406,-0.06384649414773799,0.05482614341364922
