Time (s),PID Joint 0 Angle (rad),SNN Joint 0 Angle (rad),PID Joint 0 Velocity (rad/s),SNN Joint 0 Velocity (rad/s)
0.0,0.0,0.0,42.29369109895259,0.0
0.01,0.17622371291230246,0.0,-6.387324194907566,0.0
0.02,0.14960986210018762,0.0,3.917934761988457,2.9104091144484734
0.03,0.16593459027513952,0.012126704643535305,1.7717344392912797,2.993267736923876
0.04,0.17331681710551985,0.02459865354738479,2.2523842905351223,3.065769031589852
0.05,0.1827017516494162,0.03737269117900917,2.1773250414945107,3.148627654065251
0.06,0.19177393932231002,0.050491973070947715,2.2183041036788067,3.221128948731227
0.07,0.20101687308763838,0.06391334369066116,2.233543926468076,2.7446918694976716
0.08,0.2103233061145887,0.07534955981356813,2.2529773252642,2.226825479026413
0.09,0.21971071163652287,0.08462799930951151,2.2702946749838473,2.7757638529259445
0.1,0.2291702727822889,0.09619368203003628,2.2868363285571514,2.257897462454686
0.11,0.23869875748461036,0.10560158812359748,2.302328273686954,2.806835836354221
0.12,0.248291791958306,0.11729673744174006,2.3168375429858017,2.8379078197824974
0.13,0.2579452817207468,0.12912135335750047,2.3303594801070577,3.428275504919732
0.14,0.26765511288785954,0.14340583462799936,2.3429048480477537,2.382185396167788
0.15,0.27741721642139183,0.1533316071120318,2.3544814361736286,3.4904194717762813
0.16,0.28722755573878195,0.16787502157776632,2.365097935306394,2.444329363024341
0.17,0.29708213046922527,0.1780597272570344,2.374763112707394,2.9829104091144494
0.18,0.3069769767721727,0.1904885206283446,2.383485979108662,3.013982392542726
0.19,0.31690816835179214,0.2030467805972726,2.3912757463560563,2.4754013464526174
0.2,0.32687181729494236,0.21336095287415852,2.3981418292529533,3.573278094251684
0.21,0.3368640749168297,0.2282496116002072,2.4040938380820824,3.076126359399275
0.22,0.346881132575505,0.24106680476437087,2.409141573104844,2.5375453133091668
0.23,0.3569192224634419,0.2516399102364924,2.413295018655405,3.076126359399275
0.24,0.36697461837450607,0.26445710340065604,2.416564337334842,2.5375453133091668
0.25,0.37704363644673455,0.27503020887277757,2.418959864200842,3.076126359399275
0.26,0.38712263588090473,0.2878474020369412,2.4204921009772735,3.086483687208702
0.27,0.3972080196349767,0.30070775073364414,2.4211717102806607,3.1071983428275516
0.28,0.40729623509447943,0.3136544104954256,2.421009509866285,3.1175556706369782
0.29,0.4173837747189223,0.32664422578974633,2.4200164668954693,3.1279129984464014
0.3,0.4274671766643201,0.33967719661660634,2.4182036922257932,3.138270326255828
0.31,0.4375430253819276,0.35275332297600565,2.4155824347258346,2.589331952356293
0.32,0.4476079521932852,0.36354220611082355,2.412164075616152,3.1175556706369782
0.33,0.4576586358416858,0.3765320214051443,2.4079601228380763,3.1279129984464014
0.34,0.4676918030201778,0.3895649922320043,2.402982205451889,3.1175556706369782
0.35000000000000003,0.4777042288762274,0.40255480752632505,2.397242068065948,3.076126359399275
0.36,0.4876927374931688,0.4153720006904887,2.3907515652982507,2.4754013464526174
0.37,0.4976542023485782,0.4256861729673746,2.383522656271956,2.9621957534955996
0.38,0.5075855467497113,0.43802865527360624,2.3755673991462927,2.9207664422579
